document_id,terms
d48c47,american|envirotainer|e2 containers|rap e2|containers
4e2756,dhl|campus|vienna|vienna airport|dhl global forwarding
b53e28,dhl|brokerage|platform|dhl global|connection
ebed36,delta|ceiv network|ceiv|iata ceiv network|dusseldorf
d913d8,lufthansa|electronically|security|information|paperless
ab5d0a,blockchain|bita|wipro|blockchain standards|transportation industry
1735cc,apollo|cargo screening|screening|los|sq ft perishable
46ed3b,catapult|mercator|qms|purchases|mercator purchases
e6dcdd,recycling|covers|dupont|recycling program|cargo covers
035e8e,agents|ami|click2ship|freight agents|africa
6fd9e7,turkish|turkish cargo|cargo processing|cargo processing platform|processing platform
c2ad22,sky|sky fresh|abc|fresh|app
b22d7b,ceva|distribution centre|yard|floor|floor storage
4f9065,tool|tiaca|terminals|cargo service quality|csq
abacfc,dupont|covers|uld cover|span|uld
a3b476,lufthansa|hyderabad|pharma hub|hyderabad airport|cold-chain
d9b345,singapore|ceva|ceiv|status|group
79751f,reynolds|biothermal|lynaye|role|peli
e5cc7f,dubai|iss|iss global|supply chain logistics|chain logistics
aeeee3,trailers|temperature-controlled trailers|belgium|luxembourg|kn pharmachain
fd9f31,dwc|dnata|dubai|ceiv|dubai world
99c156,swissport|netherlands|product line|swissport international|line
b8a94e,infr8|dangerous|dangerous goods|giv|declaration
ff61e7,ghana|aviance|aviance ghana|kale|galaxy
a33d76,blockchain|supplier|tys|ibm|onboarding
f6393b,tiaca|tool|csq|brussels|brussels airport
db15ac,bluetooth|unilode|trials|cathay|cathay pacific
29841a,cargologic|gredig|medicinal|highest standards|iata
d97164,descartes|cargo 2000|2000|etihad|etihad crystal
19ff0e,amerijet|all-cargo|all-cargo airline|earn|earn iata
8f6fff,e-cargoware|widerøe|regional airline|software|international destinations
98b9ec,san|san juan|juan|chambers|puerto
9a2658,unisys|paycargo|payment|digistics|software
914599,innoaviation|descartes|core|core solutions|nordisk
3926a3,finnair|finnair cargo|swissport|helsinki|nordic cargo hub
93df09,ibs|asiana|icargo|asiana airlines|asiana cargo
616224,dumont|bertsch|ludwig|ceo|join
91d207,qep|envirotainer|qatar|qatar airways|airways
5e1101,agility|authorisation|wda|wholesaler|distribution
c07bf8,champ|cathay|cathay pacific|cargospot|pacific
6866ef,rap e2|rap|hyderabad|envirotainer|rkn e1
2a94ca,galaxy|widerøe|kale|widerøe ground|cargo operation
73cebb,pga|schiphol|abc|initiative|schiphol cargo
18424a,tiaca|sultan|board|nabil|joins
6b131f,bolloré|alert|action|transit|bolloré keeps
78662e,kiosks|trucks|swissport|self-service|check-in kiosks
c52eba,express|click2ship|quotes|online|click2ship express
3f8b39,heathrow|swissport|cargo centre|segro|heathrow cargo
163c16,lufthansa|lufthansa cargo|cool center|late|cool
524560,billing|blockchain|air cargo billing|cargo billing|microsoft
dfed16,emirates|uae|emirates skycargo|skycargo|aeo
64d9b7,shanghai|csafe|service centre|greater|greater support
04de5e,cargo iq|scheme|sgs|audit|member
b98540,dangerous|portal|dangerous goods|fraport|dakosy
21d37f,etihad|etihad cargo|control center|center|monitor
228fd7,hactl|cosac-vr|training|aircraft|trainees
